household_id,button_id,concept,num_modeling_events,num_spont_button_press
136,16688,NOW,29,8
136,16689,OTHER,1,16
136,16692,PERSON-STRANGER,12,22
136,17161,TOY-BALL,38,15
136,17371,LET'S GO,45,45
136,18115,OTHER,13,13
225,4769,ALL DONE,88,19
225,4770,GO TO BED,29,25
225,4771,PERSON-SIBLING,57,69
225,4772,COME,30,24
225,4773,PERSON-FRIEND,15,15
225,4774,TOY-OTHER,3,39
225,4775,FOOD,63,40
225,4776,HELP,9,31
225,4777,PERSON-PARENT,42,9
225,4778,LATER,176,48
225,4779,LOOK,14,89
225,4780,LOVE YOU,4,23
225,4781,PERSON-PARENT,81,24
225,4782,NO,80,22
225,4783,NOW,99,23
225,4784,GO OUTSIDE,52,151
225,4785,PLAY-ALL,12,30
225,4786,POTTY,24,246
225,4787,TOY-PUZZLE,19,67
225,4788,SCRITCHES,2,12
225,4789,SETTLE,12,71
225,4790,TREAT-ALL,89,253
225,4791,PLAY-TUG,38,211
225,4792,WALK,82,125
225,4793,WANT,73,12
225,4794,WATER,14,22
225,4795,INTERROGATIVE/QUESTION,43,48
225,4796,YES,83,16
225,4797,OWN NAME,124,22
225,10183,BYE,20,51
225,10190,HI,7,16
225,10191,INTERROGATIVE/QUESTION,53,27
225,10197,MORE,20,44
225,10211,INTERROGATIVE/QUESTION,152,19
225,16624,HAPPY,4,26
225,16625,MAD,19,37
225,16626,CUDDLE,14,24
225,16627,OTHER,13,44
225,16628,TREAT-ALL,18,94
225,16629,PERSON-FRIEND,21,23
225,16630,PERSON-STRANGER,9,20
225,16631,OTHER,8,45
225,16754,INDOOR LOCATION-OFFICE,14,75
225,16793,TOY-BALL,13,29
225,17112,OTHER,5,31
225,17113,HOME,62,127
225,17114,PLACE-OTHER,20,45
225,17115,CONCERNED,6,26
225,17628,OTHER,30,18
225,18925,OTHER,3,34
225,19447,ANIMAL-DOG,11,23
225,19703,LET'S GO,57,7
225,19704,OTHER,13,10
225,19705,BODY PART,2,15
225,19706,BODY PART,11,1
225,19708,BODY PART,1,49
225,19761,OTHER,7,4
225,19762,BODY PART,2,80
225,20100,OTHER,26,21
225,20108,OTHER,7,11
225,20969,OUTDOOR LOCATION-BACK YARD,15,27
225,21167,OTHER,9,5
225,24024,OTHER,1,10
225,24344,OUTDOOR LOCATION-PORCH,2,4
225,24584,TOY-BONE,1,3
323,19815,GO OUTSIDE,19,33
323,19816,TOY-STUFFED ANIMAL,8,39
323,19817,PLAY-ALL,55,76
323,19818,WATER,10,28
323,19819,SETTLE,18,20
323,19820,TOY-BALL,14,40
323,19821,LOVE YOU,9,12
323,19822,PERSON-PARENT,45,11
323,19823,ALL DONE,36,11
323,19824,WALK,24,34
323,19825,LATER,21,7
323,19826,NOW,32,6
323,19892,LET'S GO,30,35
323,19893,GO TO BED,10,2
323,19894,OTHER,11,12
323,19896,PERSON-PARENT,19,7
323,19905,ANIMAL-DOG,71,25
323,19980,HI,20,4
323,19981,WANT,38,19
323,19982,FOOD,27,16
323,20047,OUTDOOR LOCATION-OTHER,5,16
323,20086,OTHER,13,8
323,20087,CONCERNED,6,2
323,20088,YES,44,17
323,20089,NO,7,18
323,20092,SCRITCHES,5,25
323,20129,PLAY-TUG,11,10
323,20245,OUTDOOR LOCATION-OTHER,10,10
323,20246,INTERROGATIVE/QUESTION,35,16
323,20562,OTHER,7,3
323,20563,TREAT-ALL,5,15
323,20564,HAPPY,5,4
323,20570,OUTDOOR LOCATION-OTHER,7,9
323,20747,OTHER,3,2
323,21119,OTHER,3,3
323,21394,HOME,1,2
323,21564,LOOK,1,1
323,22047,INTERROGATIVE/QUESTION,2,2
